Speed,Throttle,Brake,RPM,nGear,DRS,Distance,Driver,Lap,Year,Track,Time_s
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,563.381
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,563.481
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,563.569
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,563.701
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,563.809
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,563.861
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,564.181
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,564.249
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,564.381
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,564.52
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,564.529
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,564.689
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,564.82
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,564.889
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,564.98
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,565.089
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,565.181
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,565.409
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,565.569
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,565.58
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,565.761
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,565.849
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,566.001
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,566.009
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,566.169
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,566.2
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,566.381
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,566.449
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,566.649
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,566.7
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,566.881
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,567.129
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,567.26
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,567.329
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,567.461
0.0,104.0,True,0.0,0,1,3120.4627777777755,OCO,1.0,2024,Monaco,567.58
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,567.689
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,567.86
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,567.969
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,568.12
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,568.209
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,568.361
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,568.449
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,568.521
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,568.68
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,568.729
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,568.96
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,569.09
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,569.29
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,569.341
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,569.57
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,569.601
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,569.741
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,569.77
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,569.929
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,570.041
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,570.129
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,570.221
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,570.369
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,570.421
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,570.501
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,570.649
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,570.84
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,570.889
0.0,104.0,True,0.0,0,1,3120.462777777777,OCO,1.0,2024,Monaco,571.0
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,571.049
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,571.34
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,571.369
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,571.649
0.0,104.0,True,0.0,0,1,3120.462777777776,OCO,1.0,2024,Monaco,571.68
0.0,104.0,True,0.0,0,1,3120.4627777777764,OCO,1.0,2024,Monaco,572.049
0.0,104.0,True,0.0,0,1,3120.4627777777773,OCO,1.0,2024,Monaco,572.12
